"referer_domain","total_requests","total_bytes","hit_count","date"
"https://www.crimetak.in","826398","30948875965","825186","2022-03-27"
"https://women.raftaar.in","23484","467460097","23366","2022-03-22"
"https://www.foodtechbiz.com","10782","178065374","10540","2022-03-22"
"https://www.barandbench.com","829895","28417291466","826889","2022-03-10"
"https://health.raftaar.in","2391","43177702","2349","2022-03-05"
"https://wuzupnigeria.ng","20499","267027999","20239","2022-03-17"
"https://www.tendernama.com","1095","18543481","1062","2022-03-20"
"https://jhcukorg.site","329","11870518","309","2022-03-15"
"https://www.indiaglobalbusiness.com","9267","147327541","9017","2022-03-15"
"https://www.quintype.com","1371","29329221","1218","2022-03-15"
"https://platform-test-web.madrid.quintype.io","5","3934","5","2022-03-05"
"https://mimorelia.madrid.quintype.io","31","1429059","31","2022-03-17"
"https://chirdeep.madrid.quintype.io","1","786","1","2022-03-22"
"https://kamadenu.madrid.quintype.io","5","15919","5","2022-03-29"
"https://www.thebridgechronicle.com","54710","922204716","54012","2022-03-06"
"https://parsi.ajel.sa","1043","1626205","1025","2022-03-06"
"https://www.lmrcl.com","35","11050660","35","2022-03-11"
"https://wuzupnigeria.ng","25232","433164169","24982","2022-03-02"
"https://www.mynrination.com","324","5091696","313","2022-03-26"
"https://kamadenu-hindutamil-in.translate.goog","7","373599","7","2022-03-19"
"https://www.deshdoot.com","235418","6361442502","234639","2022-03-16"
"https://www.mumbaitak.in","263833","9476520912","263327","2022-03-12"
"https://www.dainikgomantak.com","79760","2120533086","79525","2022-03-24"
"https://mimorelia.com","467216","17815801242","466678","2022-03-28"
"https://women.raftaar.in","26193","562454949","25968","2022-03-07"
"https://madrid.quintype.io","556","5475057","537","2022-03-07"
"https://demo-fiare.fiare.madrid.qtstage.io","41","1174358","6","2022-03-07"
"https://sakalmediagroupdemo.madrid.quintype.io","1","786","1","2022-03-11"
"https://cms.newzera.com","4","1262856","4","2022-03-11"
"https://dhruvcollabs.madrid.quintype.io","20","424715","11","2022-03-19"
"https://www.peoplesreporter.in","23863","702977695","23621","2022-03-13"
"https://www.saamtv.com","359254","11182601884","358655","2022-03-14"
"https://www.newstore88.ga","1","315371","1","2022-03-05"
"https://www.punjabtoday.com","5047","171496681","4797","2022-03-01"
"https://www.hevosurheilu.fi","164173","5476857759","163326","2022-03-03"
"https://www.sfhsagjsdgfjdsgfdfg.tk","1","315155","1","2022-03-02"
"https://flippin.madrid.quintype.io","33","852434","25","2022-03-23"
"https://asian1911.rssing.com","1","315837","1","2022-03-15"
"https://creativegaga.madrid.quintype.io","93","2412556","82","2022-03-04"
"https://feeloa.wordpress.com","2","629993","2","2022-03-03"
"https://www-barandbench-com.tiss.remotlog.com","27","783977","26","2022-03-13"
"https://worldakkam.com","4","1260529","4","2022-03-07"
"https://www-barandbench-com.eu1.proxy.openathens.net","44","1528859","40","2022-03-22"
"https://webcache.googleusercontent.com","25","1073337","25","2022-03-01"
"https://evoindia.beta-madrid.quintype.io","1","789","1","2022-03-07"
"https://ace.madrid.quintype.io","1","791","1","2022-03-13"
"https://kamadenu.madrid.quintype.io","2","1582","2","2022-03-03"
"https://arabicdemo.madrid.quintype.io","2","1582","2","2022-03-12"
"https://www.pathlegal.in","1","315721","1","2022-03-12"
"https://imageninformativadigital.com","1","315523","1","2022-03-14"
"https://actressgallery10.blogspot.com","1","315296","1","2022-03-08"
"https://miamitimesdemo.madrid.quintype.io","1","791","1","2022-03-08"
"https://www.ajhshop.top","1","315296","1","2022-03-17"
"https://www.mall-11.xyz","1","315737","1","2022-03-18"
"https://www.thelede.in","4","25910","0","2022-03-01"
