"publisher_name","referer_domain","total_requests","total_bytes","hit_count","date"
"punjabtoday","https://www.punjabtoday.com","5047","171496681","4797","2022-03-01"
"thelede","https://www.thelede.in","4","25910","0","2022-03-01"
"raftaar","https://health.raftaar.in","2654","50624570","2564","2022-03-01"
"crimetak","https://www.crimetak.in","838380","30034575655","836962","2022-03-01"
"yoyocial","https://www.yoyocial.news","27133","176377851","26871","2022-03-01"
"whiteswanfoundation-hindi","https://hindi.whiteswanfoundation.org","581","8517632","483","2022-03-01"
"ejan","https://www.ejan.co","2861099","130577992095","2858586","2022-03-01"
"barandbench-hindi","https://hindi.barandbench.com","6523","113333777","6351","2022-03-01"
"raftaar","https://women.raftaar.in","32998","632612406","32757","2022-03-01"
"thelawyer","https://www.thelawyer.co.ke","879","14384457","775","2022-03-01"
"sinceindependence-hindi","https://hindi.sinceindependence.com","25868","497089628","25555","2022-03-01"
"pratinidhimanthan","https://www.pratinidhimanthan.com","2035","18708212","1948","2022-03-01"
"mumbaitak","https://www.mumbaitak.in","555132","20862069507","553687","2022-03-01"
"wuzupnigeria","https://wuzupnigeria.ng","24809","435736420","24469","2022-03-01"
"sinceindependence","https://www.sinceindependence.com","57710","835121032","57120","2022-03-01"
"thenewsagency","https://www.thenewsagency.in","13960","320691523","13704","2022-03-01"
"eastmojo","https://www.eastmojo.com","29","195315","10","2022-03-01"
"gomantaktimes","https://www.gomantaktimes.com","12847","165646455","12442","2022-03-01"
"xchange","https://www.xchange.co.bw","2373","14984358","2288","2022-03-01"
"transportandlogisticsme","https://www.transportandlogisticsme.com","11234","180591547","10730","2022-03-01"
"dailynewsnepal","https://www.dailynewsnepal.com","238","1251798","197","2022-03-01"
"presscenter","https://www.presscenter.mn","34972","1150264832","34387","2022-03-01"
"steelguru","https://www.steelguru.com","49729","818953722","48855","2022-03-01"
"fastbikesindia","https://www.fastbikesindia.com","8323","124827707","7940","2022-03-01"
"dainikgomantak","https://www.dainikgomantak.com","75353","2286014948","74844","2022-03-01"
"magazine-watertoday","https://magazine.watertoday.org","1024","18875303","886","2022-03-01"
"whiteswanfoundation-malayalam","https://malayalam.whiteswanfoundation.org","251","2382626","206","2022-03-01"
"newslaundry","https://www.newslaundry.com","16","103945","2","2022-03-01"
"hindustanreads","https://www.hindustanreads.com","11310","169634993","11109","2022-03-01"
"tendernama","https://www.tendernama.com","3805","99292737","3696","2022-03-01"
"thebridgechronicle","https://www.thebridgechronicle.com","59373","1064344803","58463","2022-03-01"
"startupcityindia","https://www.startupcityindia.com","4733","95169420","4427","2022-03-01"
"uptak","https://www.uptak.in","997756","37716219237","996170","2022-03-01"
"saamtv","https://www.saamtv.com","505633","17184622826","504458","2022-03-01"
"iglobalnews","https://www.iglobalnews.com","15541","340758046","15211","2022-03-01"
"ftcftcftc","https://www.ftcftcftc.com","2647","54299650","2373","2022-03-01"
"raftaar","https://dharm.raftaar.in","123818","3874905598","122743","2022-03-01"
"tv5kannada","https://tv5kannada.com","1577","228790562","1546","2022-03-01"
"raftaar","https://news.raftaar.in","151118","1901160505","150700","2022-03-01"
"corner","https://corner.network","4","25914","0","2022-03-01"
"sabq","https://sabq.org","5526803","210139755852","5523844","2022-03-01"
"foodtechbiz","https://www.foodtechbiz.com","9812","185958128","9410","2022-03-01"
"whiteswanfoundation-tamil","https://tamil.whiteswanfoundation.org","539","5865823","453","2022-03-01"
"whiteswanfoundation","https://www.whiteswanfoundation.org","42576","1129243728","41265","2022-03-01"
"kamadenu","https://kamadenu.hindutamil.in","103136","3764078254","102359","2022-03-01"
"sarkarnama","https://www.sarkarnama.in","692927","28877014879","691946","2022-03-01"
"theceo","https://www.theceo.in","26685","588813919","25956","2022-03-01"
"peoplesreporter","https://www.peoplesreporter.in","14033","342714541","13718","2022-03-01"
"thecue","https://www.thecue.in","205727","7646223132","203948","2022-03-01"
"ajel","https://ajel.sa","1682900","53550754418","1681140","2022-03-01"
"esakal","https://www.esakal.com","19","1414978","19","2022-03-01"
"matternews","https://www.matternews.org","3859","63602977","3530","2022-03-01"
"greaterkashmir","https://www.greaterkashmir.com","793287","27656538422","791290","2022-03-01"
"whiteswanfoundation-kannada","https://kannada.whiteswanfoundation.org","357","3240404","317","2022-03-01"
"bettorsinsider","https://www.bettorsinsider.com","16747","372703334","16138","2022-03-01"
"rajexpress","https://www.rajexpress.co","46946","678090087","46456","2022-03-01"
"theamj","https://www.theamj.org","198","3079602","158","2022-03-01"
"barandbench","https://www.barandbench.com","811841","28106567249","808220","2022-03-01"
"indiaglobalbusiness","https://www.indiaglobalbusiness.com","9639","158342976","9273","2022-03-01"
"raftaar","https://astrology.raftaar.in","46881","1538785634","46220","2022-03-01"
"sathyadeepam","https://www.sathyadeepam.org","18381","464707575","17877","2022-03-01"
"deshdoot","https://www.deshdoot.com","161018","4516274699","160272","2022-03-01"
"newssensetn","https://www.newssensetn.com","10736","419357529","10400","2022-03-01"
"happenings","https://www.happenings.com.ng","26","534606","12","2022-03-01"
"mimorelia","https://mimorelia.com","827053","33327433188","825151","2022-03-01"
"dharmadispatch","https://www.dharmadispatch.in","15254","402342894","14609","2022-03-01"
"pratidintime","https://www.pratidintime.com","64947","1107856988","64404","2022-03-01"
"whiteswanfoundation-bengali","https://bengali.whiteswanfoundation.org","764","14812082","663","2022-03-01"
"forbesga","https://www.forbesga.com","503","10337126","419","2022-03-01"
"barandbench-kannada","https://kannada.barandbench.com","17323","552028728","17058","2022-03-01"
"evoindia","https://www.evoindia.com","51761","1061683263","50849","2022-03-01"
"raftaar","https://travel.raftaar.in","3087","36454200","2974","2022-03-01"
"netindian","https://www.netindian.in","37524","475964202","36999","2022-03-01"
"ficl","https://www.ficl.org.in","936","13180136","865","2022-03-01"
"greatkarunadu","https://www.greatkarunadu.com","436","5200582","369","2022-03-01"
"wuzupnigeria","https://wuzupnigeria.ng","25232","433164169","24982","2022-03-02"
"transportandlogisticsme","https://www.transportandlogisticsme.com","10962","169215015","10625","2022-03-02"
"sinceindependence-hindi","https://hindi.sinceindependence.com","25604","501599915","25459","2022-03-02"
"barandbench","https://www.barandbench.com","1009165","34039617300","1005058","2022-03-02"
"whiteswanfoundation-malayalam","https://malayalam.whiteswanfoundation.org","290","2094652","242","2022-03-02"
"pratinidhimanthan","https://www.pratinidhimanthan.com","4156","75567505","3973","2022-03-02"
"dharmadispatch","https://www.dharmadispatch.in","13902","364174714","13428","2022-03-02"
"evoindia","https://www.evoindia.com","51092","1101838055","50491","2022-03-02"
"fastbikesindia","https://www.fastbikesindia.com","8016","110257174","7709","2022-03-02"
"theceo","https://www.theceo.in","25446","555867804","25094","2022-03-02"
