publisher_name,total_requests,total_bytes,hit_count,date
udaybulletin,37,4448366,8,2022-03-01
wuzupnigeria,1164,46507953,70,2022-03-01
raftaar,50171,1111543582,49747,2022-03-01
peoplesreporter,653,9171141,552,2022-03-01
presscenter,7750,749414809,7134,2022-03-01
magazine-watertoday,109,82716847,58,2022-03-01
theamj,14,103537,0,2022-03-01
steelguru,3440,79173703,2572,2022-03-01
ejan,491262,98937889267,490093,2022-03-01
transportandlogisticsme,448,22128007,295,2022-03-01
ajel,34615,291601192,32491,2022-03-01
yoyocial,642,80679166,421,2022-03-01
saamtv,5495,129341344,1859,2022-03-01
sarkarnama,29882,150528266,27738,2022-03-01
thenewsagency,913,6564618,813,2022-03-01
theceo,901,23888793,636,2022-03-01
nationwide,1,209738,0,2022-03-01
anweshanam,207,3210608,190,2022-03-01
corner,3,18650,0,2022-03-01
upfrontstories,3,209709,0,2022-03-01
greatkarunadu,7,643113,0,2022-03-01
mumbaitak,44382,626260192,43206,2022-03-01
thebridgechronicle,3153,36605028,2932,2022-03-01
greaterkashmir,3652,91805004,626,2022-03-01
barandbench,106016,4785591540,100201,2022-03-01
deshdoot,25720,1108293226,23008,2022-03-01
xchange,149,777761248,41,2022-03-01
forbesga,10,4229431,0,2022-03-01
gomantaktimes,622,29294526,434,2022-03-01
whiteswanfoundation-kannada,21,710014,8,2022-03-01
foodtechbiz,820,17326883,634,2022-03-01
whiteswanfoundation-bengali,40,2504327,25,2022-03-01
newssensetn,3122,194751668,2333,2022-03-01
bhoomitoday,1,4848330,0,2022-03-01
netindian,1331,33161866,898,2022-03-01
pratinidhimanthan,67,1608964,42,2022-03-01
whiteswanfoundation-hindi,58,2658793,23,2022-03-01
barandbench-hindi,990,35485044,853,2022-03-01
dainikgomantak,8997,130153853,5251,2022-03-01
whiteswanfoundation-malayalam,6,360517,1,2022-03-01
newslaundry,292304,16716960814,287222,2022-03-01
dharmadispatch,2287,28468648,1942,2022-03-01
happenings,462,28712082,9,2022-03-01
hindustanreads,120,4253902,0,2022-03-01
crimetak,566,56989227,70,2022-03-01
pratidhvani,91,179623015,42,2022-03-01
sabq,2751,277976563,184,2022-03-01
sinceindependence,493,35147856,386,2022-03-01
whiteswanfoundation-tamil,25,1298927,8,2022-03-01
ftcftcftc,160,424406,86,2022-03-01
fastbikesindia,543,23270113,181,2022-03-01
evoindia,6100,151488124,5394,2022-03-01
sathyadeepam,15,733420,1,2022-03-01
iglobalnews,535,84863965,407,2022-03-01
tendernama,310,16455920,147,2022-03-01
indiaglobalbusiness,556,18619691,341,2022-03-01
rajexpress,5465,131426472,3626,2022-03-01
uptak,1417,74287181,105,2022-03-01
mimorelia,1255,47548637,1039,2022-03-01
whiteswanfoundation,6246,301796589,5840,2022-03-01
barandbench-kannada,1194,27133434,1068,2022-03-01
startupcityindia,451,7000144,337,2022-03-01
ficl,13,3360820,2,2022-03-01
thecue,19647,181075024,18553,2022-03-01
esakal,6198836,93911991221,6170596,2022-03-01
sinceindependence-hindi,1036,204297977,829,2022-03-01
matternews,258,5588605,148,2022-03-01
pratidintime,1487,28133493,1153,2022-03-01
punjabtoday,59,3390267,3,2022-03-01
bettorsinsider,1767,59288689,1044,2022-03-01
kamadenu,560,170145315,45,2022-03-01
pennews,424,29643032,25,2022-03-01
ejan,389670,78835856653,388656,2022-03-02
ftcftcftc,184,566958,104,2022-03-02
yoyocial,716,50549197,489,2022-03-02
saamtv,5707,131072617,1527,2022-03-02
ajel,31475,273999066,29244,2022-03-02
transportandlogisticsme,558,20746982,288,2022-03-02
pratidhvani,121,261678710,57,2022-03-02
sathyadeepam,18,3784430,0,2022-03-02
barandbench,130283,4550325431,122928,2022-03-02
