name,domain_url
bloombergquint,https://www.bloombergquint.com
afaqs,https://www.afaqs.com
bettorsinsider,https://www.bettorsinsider.com
fortuneindia,https://www.fortuneindia.com
transportandlogisticsme,https://www.transportandlogisticsme.com
fastbikesindia,https://www.fastbikesindia.com
eastmojo,https://www.eastmojo.com
freedomtvindia-ka,https://kannada.freedomtvindia.com
happenings,https://www.happenings.com.ng
indiansingulf,https://www.indiansingulf.ae
livehistoryindia-hindi,https://hindi.livehistoryindia.com
kalaignarseithigal,https://www.kalaignarseithigal.com
navjivanindia,https://www.navjivanindia.com
nationalherald,https://www.nationalheraldindia.com
pennews,https://www.pennews.net
pratidhvani,https://www.pratidhvani.com
rajexpress,https://www.rajexpress.co
sakshipost,https://english.sakshi.com
sakshipost-hindi,https://hindi.sakshi.com
shekinahonline,https://www.shekinahonline.in
thecue,https://www.thecue.in
thelede,https://www.thelede.in
thequint-fit-hindi,https://fithindi.thequint.com
thequint-fit,https://fit.thequint.com
thequint,https://www.thequint.com
udaybulletin,https://www.udaybulletin.com
smeadvisor,https://www.sme10x.com
quint-hindi,https://hindi.thequint.com
sabq,https://sabq.org
prabhatkhabar,https://www.prabhatkhabar.com
ajeya,https://www.ajeya.news
vikatantv,https://www.vikatan.tv
knocksense,https://www.knocksense.com
tecsense,https://tecsense.knocksense.com
mediaone,https://www.mediaonetv.in
ncfindia,https://www.ncf-india.org
upfrontstories,https://www.upfrontstories.com
climatedesk,https://www.climatedesk.org
swarajya,https://swarajyamag.com
evoindia,https://www.evoindia.com
freedomtvindia,https://www.freedomtvindia.com
indynetwork,https://www.livehistoryindia.com
qaumiawaz,https://www.qaumiawaz.com
yoyocial,https://www.yoyocial.news
dharmadispatch,https://www.dharmadispatch.in
barandbench,https://www.barandbench.com
newslaundry,https://www.newslaundry.com
alt-fuse,https://www.alt-fuse.com
prothomalo-english,https://en.prothomalo.com
freepressjournal,https://www.freepressjournal.in
mom,https://awake.mom
netindian,https://www.netindian.in
xchange,https://www.xchange.co.bw
meemhub,https://www.meemhub.com
raftaar,https://health.raftaar.in
raftaar,https://women.raftaar.in
ftcftcftc,https://www.ftcftcftc.com
thetimesofesports,https://www.thetimesofesports.com
anweshanam,https://www.anweshanam.com
super,https://super.cab
gallery,https://awake.gallery
fashion,https://awake.fashion
market,https://awake.market
whiteswanfoundation,https://www.whiteswanfoundation.org
whiteswanfoundation-kannada,https://kannada.whiteswanfoundation.org
whiteswanfoundation-bengali,https://bengali.whiteswanfoundation.org
whiteswanfoundation-hindi,https://hindi.whiteswanfoundation.org
whiteswanfoundation-tamil,https://tamil.whiteswanfoundation.org
whiteswanfoundation-malayalam,https://malayalam.whiteswanfoundation.org
deshdoot,https://www.deshdoot.com
vikatanugc,https://myvikatan.vikatan.com
barandbench-hindi,https://hindi.barandbench.com
barandbench-kannada,https://kannada.barandbench.com
prothomalo-bangla,https://www.prothomalo.com
thenewsagency,https://www.thenewsagency.in
prothomalo-bangla,https://www.bigganchinta.com
prothomalo-bangla,https://www.bondhushava.com
prothomalo-bangla,https://www.kishoralo.com
prothomalo-bangla,https://www.protichinta.com
prothomalo-bangla,https://trust.prothomalo.com
prothomalo-bangla,https://northamerica.prothomalo.com
loonful,https://www.loonful.com
toontype,https://www.toontype.com
indiful,https://www.indiful.com
spiritful,https://www.spiritful.com
spiritful-co-uk,https://spiritful.co.uk
spiritful-in,https://spiritful.in
spiriting,https://spiriting.com.au
storkful,https://www.storkful.com
schooltype,https://www.schooltype.com
veedya,https://www.veedya.com
maker,https://maker.link
rahimful,https://www.rahimful.com
pawstype,https://www.pawstype.com
solar,https://awake.solar
fitness,https://awake.fitness
observer,https://awake.observer
raftaar,https://news.raftaar.in
raftaar,https://astrology.raftaar.in
raftaar,https://travel.raftaar.in
raftaar,https://dharm.raftaar.in
matternews,https://www.matternews.org
prothomalo-bangla,https://nagorik.prothomalo.com
iglobalnews,https://www.iglobalnews.com
thenortheasttoday,https://thenortheasttoday.com
magazine-watertoday,https://magazine.watertoday.org
quintype-website,https://blog.quintype.com
carolina,https://www.carolina.com/knowledge
theamj,https://www.theamj.org
dyingtheartof,http://www.dyingtheartof.com
democraticworld,https://www.democraticworld.com
nationwide,https://www.thenationwide.in
steelguru,https://www.steelguru.com
theoryfind,https://www.theoryfind.com
peoplesreporter,https://www.peoplesreporter.in
ejan,https://www.ejan.co
finreads,https://www.finreads.in
mumbaitak,https://www.mumbaitak.in
esakal,https://www.esakal.com
newslaundry,https://hindi.newslaundry.com
foodtechbiz,https://www.foodtechbiz.com
pratinidhimanthan,https://www.pratinidhimanthan.com
bhoomitoday,https://www.bhoomitoday.com
greaterkashmir,https://www.greaterkashmir.com
thelawyer,https://www.thelawyer.co.ke
saamtv,https://www.saamtv.com
afkgaming,https://afkgaming.com
crimetak,https://www.crimetak.in
wuzupnigeria,https://wuzupnigeria.ng
presscenter,https://www.presscenter.mn
vikatan,https://www.vikatan.com
vikatan,https://cinema.vikatan.com
vikatan,https://sports.vikatan.com
tv5kannada,https://tv5kannada.com
kamadenu,https://kamadenu.hindutamil.in
uptak,https://www.uptak.in
sarkarnama,https://www.sarkarnama.in
mimorelia,https://mimorelia.com
startupcityindia,https://www.startupcityindia.com
theceo,https://www.theceo.in
thebridgechronicle,https://www.thebridgechronicle.com
ajel,https://ajel.sa
forbesga,https://www.forbesga.com
tendernama,https://www.tendernama.com
punjabtoday,https://www.punjabtoday.com
sathyadeepam,https://www.sathyadeepam.org
ficl,https://www.ficl.org.in
dainikgomantak,https://www.dainikgomantak.com
gomantaktimes,https://www.gomantaktimes.com
greatkarunadu,https://www.greatkarunadu.com
dailynewsnepal,https://www.dailynewsnepal.com
sinceindependence,https://www.sinceindependence.com
sinceindependence-hindi,https://hindi.sinceindependence.com
hindustanreads,https://www.hindustanreads.com
pratidintime,https://www.pratidintime.com
asomiyapratidin,https://www.asomiyapratidin.in
chinmayaudghosh,https://www.chinmayaudghosh.com
newssensetn,https://www.newssensetn.com
indiaglobalbusiness,https://www.indiaglobalbusiness.com
fargo,https://fargo.network
sonakey,https://www.sonakey.com
corner,https://corner.network
sheroes,https://sheroes.network
influenze,https://www.influenze.com
veed,https://veed.online
