publisher_name,total_requests,total_bytes,hit_count,date
ajel,1717515,53842355610,1713631,2022-03-01
ajel,1402947,40378688228,1399746,2022-03-02
ajel,1322910,38397869109,1320672,2022-03-03
ajel,1185285,35597784692,1182783,2022-03-04
ajel,1300162,39627876665,1297018,2022-03-05
ajel,1831342,62734083947,1828307,2022-03-06
ajel,1759806,61327946456,1756696,2022-03-07
ajel,1707571,57461927033,1704327,2022-03-08
ajel,1940564,72580816120,1936321,2022-03-09
ajel,1361115,46680626031,1358878,2022-03-10
ajel,1466352,53500433137,1462772,2022-03-11
ajel,1464799,52426937354,1461777,2022-03-12
ajel,1183318,38964220314,1181210,2022-03-13
ajel,1167489,36731745514,1164948,2022-03-14
ajel,1240253,39673162965,1235728,2022-03-15
ajel,1192562,37687253170,1187703,2022-03-16
ajel,1115441,34962792882,1112186,2022-03-17
ajel,1278702,39778220462,1275325,2022-03-18
ajel,1513110,45871500072,1509488,2022-03-19
ajel,1299584,39836324596,1295542,2022-03-20
ajel,1164760,34447817273,1161986,2022-03-21
ajel,1257770,38984701606,1254399,2022-03-22
ajel,1138575,34345927285,1135619,2022-03-23
ajel,1041209,30266006427,1037848,2022-03-24
ajel,1308942,40625443494,1305463,2022-03-25
ajel,1130569,34335002697,1127323,2022-03-26
ajel,1123957,33580810748,1120132,2022-03-27
ajel,1081400,33023169718,1078803,2022-03-28
ajel,1061965,31805616870,1057263,2022-03-29
anweshanam,207,3210608,190,2022-03-01
anweshanam,159,2634542,142,2022-03-02
anweshanam,149,2419339,134,2022-03-03
anweshanam,139,2183255,125,2022-03-04
anweshanam,156,2546890,137,2022-03-05
anweshanam,175,2836911,155,2022-03-06
anweshanam,131,2055328,113,2022-03-07
anweshanam,149,2398430,134,2022-03-08
anweshanam,148,2341519,134,2022-03-09
anweshanam,107,1799511,94,2022-03-10
anweshanam,73,1202069,57,2022-03-11
anweshanam,32,592612,23,2022-03-12
anweshanam,225,3620593,211,2022-03-13
anweshanam,130,2087665,114,2022-03-14
anweshanam,117,1896290,103,2022-03-15
anweshanam,81,1206172,63,2022-03-16
anweshanam,84,1413567,69,2022-03-17
anweshanam,83,1369042,71,2022-03-18
anweshanam,78,1294320,64,2022-03-19
anweshanam,80,1262228,72,2022-03-20
anweshanam,92,1466256,82,2022-03-21
anweshanam,141,2338865,125,2022-03-22
anweshanam,132,2118178,116,2022-03-23
anweshanam,121,1971174,105,2022-03-24
anweshanam,139,2266878,121,2022-03-25
anweshanam,236,3684135,223,2022-03-26
anweshanam,123,1918271,114,2022-03-27
anweshanam,189,2987871,172,2022-03-28
anweshanam,71,1104014,63,2022-03-29
barandbench,917857,32892158789,908421,2022-03-01
barandbench,1139448,38589942731,1127986,2022-03-02
